NPA,Violent_Crime_Rate_2016,Violent_Crimes_2016,Violent_Crime_Rate_2015,Violent_Crimes_2015,Violent_Crime_Rate_2013,Violent_Crimes_2013,Violent_Crime_Rate_2011,Violent_Crimes_2011,Property_Crime_Rate_2016,Property_Crimes_2016,Property_Crime_Rate_2015,Property_Crimes_2015,Property_Crime_Rate_2013,Property_Crimes_2013,Property_Crime_Rate_2011,Property_Crimes_2011,Disorder_Call_Rate_2016,Disorder_Calls_2016,Disorder_Call_Rate_2015,Disorder_Calls_2015,Disorder_Call_Rate_2013,Disorder_Calls_2013,Animal_Control_Call_Rate_2016,Animal_Control_Calls_2016,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Animal_Control_Call_Rate_2013,Animal_Control_Calls_2013,Animal_Control_Call_Rate_2011,Animal_Control_Calls_2011,Fire_Call_Rate_2016,Fire_Calls_2016,Fire_Call_Rate_2015,Fire_Calls_2015,Fire_Call_Rate_2013,Fire_Calls_2013,Nuisance_Violations_2016,Nuisance_Violations_Total_2016,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,Nuisance_Violations_2013,Nuisance_Violations_Total_2013
435,,,3.3,2,1.8,1,,,0,0,19.8,12,17.6,10,,,,,,,,,,,,,,,,,17.5,11,16.5,10,19.4,11,5.7,14,9.8,23,3.9,9
436,,,0.6,1,3.8,6,,,0,0,33.7,54,21.9,35,,,,,,,,,,,,,,,,,16.2,26,12.5,20,11.9,19,4.6,28,3.2,19,5.3,32
437,0.6,2,3.1,9,3.6,9,0.9,2,60.6,191,3.7,11,51,126,29.19,62,44.1,139,43,127,,,,,,,,,,,14,44,15.6,46,19.8,49,,,,,,
438,4.5,10,1,2,0.8,1,0,0,19.3,43,23,45,40.2,50,80.07,49,53.4,119,50.1,98,139.8,174,10.3,23,10.3,31,28.1,35,,,18.4,41,26.1,51,34.5,43,0.4,4,1.1,9,0.4,3
442,,,2,4,3.5,7,,,25.6,52,32.2,65,24.8,49,,,,,,,,,,,,,,,,,9.8,20,16.4,33,13.1,26,1.4,10,2.6,19,0.1,1
443,,,,,,,0,0,,,,,,,3.59,6,,,,,,,,,,,,,,,7,12,8.8,15,6.4,11,,,,,,
444,,,,,,,0.4,1,,,,,,,16.23,38,,,,,,,,,,,,,,,14.3,32,13.9,31,13,29,,,,,,
445,0,0,0.3,1,0,0,0.4,1,4.4,13,0.3,1,9.5,28,15.38,43,8.5,25,5.5,16,,,,,,,,,,,9.2,27,10.2,30,6.1,18,,,,,,
446,0.7,1,0.7,1,0,0,1.6,2,12.6,18,1.5,2,9.2,12,10.23,13,14,20,13.2,18,,,,,,,,,,,12.6,18,10.3,14,6.1,8,,,,,,
447,0,0,0.8,2,0,0,1.9,4,5.6,14,0.8,2,13.6,32,18.7,40,18.7,47,18.6,45,,,,,,,,,,,14.3,36,11.6,28,11,26,,,,,,
448,3.6,12,2.9,9,3.2,9,2.4,6,19.4,64,15.2,48,25.9,72,58.97,146,68.6,226,33.5,106,166.1,462,14.6,48,14.6,53,48.5,135,,,16.7,55,20.2,64,20.9,58,0.6,9,7.2,111,1.1,17
449,1.3,3,0.4,1,0.4,1,0.5,1,8.2,19,6,14,9.8,23,29.79,60,44.8,104,20,47,53,124,34.9,81,34.9,65,54.7,128,,,20.7,48,18.3,43,14.9,35,0.1,1,1.1,10,0.3,3
450,0.3,1,0.5,2,0.3,1,0.6,2,17,69,4.5,18,13.3,50,15.82,54,9.6,39,15.6,62,,,,,,,,,,,11.1,45,11.8,47,11.2,42,,,,,,
451,0.2,1,0.3,1,0,0,,,7.9,33,8.5,34,6.6,24,,,25.7,107,30.1,121,33.6,122,6,25,6,48,8.3,30,,,11.3,47,9.2,37,12.4,45,,,,,,
452,1.8,3,0.6,1,0,0,1.5,2,37.8,64,3.6,6,33.4,54,55.11,76,46.6,79,39.1,66,,,,,,,,,,,20.1,34,22.5,38,20.4,33,,,,,,
453,,,,,,,3.8,7,,,,,,,25.76,48,,,,,,,,,,,,,,,16.5,33,19,38,13,26,,,,,,
454,,,1.3,2,0.7,1,,,0.7,1,5.3,8,9.2,14,,,,,,,,,,,,,,,,,18.5,28,21.8,33,21.1,32,3,16,4.8,26,4.3,23
455,,,0,0,0.5,1,,,0,0,9.6,19,6.5,13,,,,,,,,,,,,,,,,,19.6,39,20.6,41,9.1,18,2.3,17,1.6,12,2.5,19
456,0,0,5.5,6,6.4,7,,,22,24,22.1,24,7.3,8,4.47,5,,,66.2,72,,,11,12,11,7,,,,,27.6,30,16.6,18,21,23,,,3.1,17,,
457,0,0,1,1,1,1,,,2.8,3,4.7,5,1.9,2,1.91,2,,,17.1,18,,,8.5,9,8.5,31,1,1,,,18,19,13.3,14,11.3,12,,,1.9,7,,
458,2.7,3,0.9,1,0.9,1,0,0,6.2,7,5.3,6,16,18,35.71,39,21.3,24,13.3,15,47,53,8.9,10,8.9,18,51.5,58,,,7.1,8,13.3,15,11.5,13,0.3,1,0.5,2,2,8
459,1.4,4,2.9,8,2.2,6,,,9.7,27,9.4,26,19.1,53,6.09,16,,,25.6,71,,,27,75,27,53,4.3,12,,,13.3,37,10.8,30,10.4,29,,,2,19,,
460,1.3,4,5.7,17,5.4,16,,,28.3,85,26.6,80,43.6,129,25.64,70,,,88.6,266,,,31,93,31,125,1.7,5,,,24,72,22.3,67,20.9,62,,,4.5,49,,
