NPA,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2015,Home_Ownership_moe_2015,Residential_Occupancy_2014,Residential_Occupancy_moe_2014,Rental_Costs_2014,Rental_Costs_moe_2014
382,2.1,914,2.1,915,2.1,931,2.2,933,2.2,948,82,751,82,752,82,768,83,770,82,780,1111,1095,1056,1042,1031,61,61,62,61,60,60,448,53,408,65,499,5.75,25,4.14,18,2.3,10,2.3,10,1.61,7,0.46,2,0.69,3,9.21,40,9.9,43,5.29,23,6.45,28,7.14,31,5.98,26,6.91,30,0.3,2,1.4,9,2.3,15,2.2,14,140811,117864,4.04,37,5.48,51,5.47,51,5.8,55,9,83,36,7,79,7,704,
383,2.6,1591,2.6,1591,2.6,1591,2.6,1591,2.6,1596,68,1089,68,1089,68,1089,68,1089,69,1094,1481,1478,1473,1465,1464,53,52,51,49,47,22,242,21,226,23,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,22,4.37,27,4.37,27,3.08,19,1.94,12,1.46,9,2.91,18,0.2,2,1.1,11,1,10,1,10,158604,149650,1.32,21,1.45,23,0.94,15,0.94,15,2,35,58,4,93,4,864,
384,7.5,2592,5.2,1821,5.2,1813,4.2,1460,4.2,1465,4,91,5,96,5,98,7,104,7,105,1481,1472,1471,1472,1461,90,89,88,87,84,42,40,39,38,37,38,6.91,24,103.33,359,72.62,252,127.38,442,71.76,249,1.44,5,1.15,4,0.58,2,2.88,10,0.58,2,1.15,4,2.01,7,1.15,4,1.44,5,0.2,2,0.5,4,0.9,7,1.4,11,273918,280956,0.16,3,0.06,1,0.07,1,0.14,2,0,0,38,11,83,7,1422,
385,2.5,1977,2.5,1984,2.5,1989,2.5,2014,2.5,2015,69,1366,69,1367,69,1375,70,1400,70,1401,1088,1087,1087,1085,1082,62,61,60,59,58,58,787,55,753,56,783,0.88,7,0.63,5,0,0,0.25,2,0.25,2,1.01,8,0.51,4,3.28,26,3.79,30,3.15,25,2.65,21,2.02,16,1.64,13,2.52,20,0.8,12,0.8,12,1.7,25,1.8,26,55808,66179,4.13,82,4.63,92,5.06,102,2.88,58,0,9,35,7,80,6,723,
386,3,828,3,841,3,845,3.1,847,3.1,846,82,678,82,690,82,695,82,697,82,696,1178,1122,1089,1059,1047,65,66,66,65,64,44,303,44,306,51,354,10.8,30,6.84,19,6.83,19,1.8,5,2.88,8,1.44,4,1.08,3,20.88,58,19.44,54,19.44,54,12.6,35,6.48,18,6.84,19,6.48,18,0,0,0.6,4,0.5,3,0.8,5,166525,156256,2.38,20,3.67,31,3.42,29,2.01,17,11,92,33,6,86,6,831,
387,0.5,940,0.5,943,0.5,945,0.5,947,0.5,951,87,814,86,814,87,819,87,821,87,825,1127,1125,1126,1125,1123,51,51,50,48,46,46,372,44,363,45,371,0.34,6,0,0,0.22,4,0,0,0,0,0,0,0.22,4,0.95,17,0.62,11,0.84,15,0.78,14,0.34,6,0.39,7,0.39,7,0.4,3,1.9,15,1,8,1.4,11,52700,66167,2.33,22,2.01,19,2.22,21,1.89,18,7,70,51,8,90,3,785,
388,3.7,1449,2.5,985,2.5,975,2.1,827,2.1,839,45,653,68,666,69,670,81,674,81,676,1269,1235,1226,1216,1201,73,73,71,70,68,48,318,39,264,49,331,3.77,15,8.55,34,1.26,5,41.46,165,38.69,154,33.17,132,0.25,1,11.07,44,13.58,54,11.07,44,8.8,35,4.53,18,3.52,14,3.27,13,0.2,1,0.8,5,1,6,1.7,10,217730,203176,3.55,35,2.56,25,2.06,17,0.6,5,0,0,40,8,87,5,881,
389,3.2,3566,3.3,3575,3.2,3565,3.2,3567,3,3313,55,1962,55,1959,55,1960,55,1962,59,1961,1445,1444,1444,1441,1440,51,50,49,47,45,31,599,29,563,29,576,0.09,1,0,0,0,0,0.18,2,0.09,1,0.27,3,0.09,1,5.73,63,4.55,50,3.18,35,1.45,16,1.73,19,1.36,15,1.73,19,0.6,12,1.4,28,1.1,22,1.2,25,109921,108492,0.9,32,0.84,30,1.4,50,6.25,207,1,43,40,4,94,3,727,
390,3,786,2.9,783,2.9,781,3,789,3,791,42,333,42,330,42,328,43,336,43,338,1256,1199,1177,1180,1183,54,54,54,53,51,35,114,34,112,39,131,3,8,4.13,11,1.12,3,1.5,4,0,0,0,0,0,0,1.88,5,2.63,7,3.37,9,2.25,6,1.5,4,1.12,3,0,0,0,0,0.6,3,1.1,5,1.3,6,147480,137526,0.51,4,1.15,9,0.25,2,0.76,6,1,10,37,9,93,7,699,78
391,1.7,971,1.7,971,1.7,971,1.7,971,1.7,972,99,959,99,959,99,959,99,959,99,960,2314,2313,2311,2310,2304,43,42,41,39,37,9,83,9,82,8,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,33,8.37,47,7.12,40,4.63,26,4.45,25,4.27,24,5.16,29,0.1,1,0.3,3,0.5,5,0.6,6,239035,239661,0.1,1,0.31,3,0.1,1,0,0,0,0,94,5,92,2,2660,
392,2.8,4125,2.8,4089,2.8,4088,2.8,4031,2.8,4041,64,2649,65,2641,65,2646,64,2590,64,2601,3047,3000,2957,2979,2940,60,60,60,59,57,13,337,11,286,13,344,2.39,35,7.84,115,2.66,39,2.18,32,1.77,26,0.07,1,1.77,26,14.39,211,12.82,188,15.2,223,16.16,237,11.11,163,8.32,122,9.75,143,0.1,2,0.2,7,0.1,5,0.1,3,846434,686587,0.12,5,0.12,5,0.15,6,0.37,15,0,0,82,4,91,3,1213,
393,2.7,2661,2.7,2681,2.8,2805,2.9,2926,2.9,2925,69,1840,69,1842,66,1842,63,1842,63,1841,1583,1575,1573,1567,1565,59,58,57,55,53,22,402,21,380,22,400,0,0,26.75,267,27.25,272,0,0,0,0,0,0,0,0,8.72,87,8.52,85,9.72,97,6.01,60,4.01,40,4.51,45,3.81,38,0.2,4,0.2,5,0.6,12,0.2,5,227173,207716,0.48,13,0.5,14,0.48,14,0.17,5,2,49,67,5,92,3,1106,
394,3.7,1439,3.7,1444,3.7,1445,3.7,1434,3.6,1430,35,510,36,514,36,516,36,515,36,511,1758,1713,1707,1696,1668,50,50,49,47,46,27,138,24,123,25,127,2.8,11,1.02,4,0.76,3,2.29,9,0,0,4.07,16,4.83,19,5.86,23,7.64,30,6.37,25,5.09,20,2.8,11,1.78,7,3.06,12,0.5,4,0.4,3,0.6,5,0.8,6,249407,270564,0.69,10,0.35,5,3.21,46,0.35,5,1,10,32,6,95,4,711,
395,1.1,665,1,662,1.1,664,1.1,664,1,651,67,443,67,441,67,442,67,443,66,430,2149,2158,2149,2148,2106,32,31,30,28,27,9,41,7,33,7,33,0,0,0.16,1,7.77,49,0,0,0.16,1,1.43,9,0.63,4,1.27,8,0.95,6,2.22,14,0.95,6,9.67,61,1.27,8,1.74,11,0.5,3,0.9,6,0.8,5,0.3,2,196873,193000,,,,,,,,,0,0,93,3,91,4,,
396,0.2,1049,0.2,1015,0.2,998,0.2,985,0.2,972,100,1049,89,906,100,998,100,985,100,971,2015,2024,1916,1901,1880,29,30,29,27,26,16,141,16,162,15,148,0.62,28,0.62,28,0.71,32,0.42,19,0.38,17,0.11,5,0.02,1,0.38,17,0.47,21,0.36,16,0.31,14,0.33,15,0.18,8,0.36,16,1.1,11,1.1,11,0.5,5,1,10,166700,184551,,,,,,,,,0,0,88,5,91,5,994,157
397,7.5,1127,7.5,1128,7.2,1086,6.1,921,6.1,922,3,38,4,39,4,39,4,38,4,39,1909,1903,1904,1904,1898,16,15,14,12,10,31,12,38,15,39,15,0,0,0,0,0.66,1,139.74,211,0,0,0,0,0,0,1.33,2,0.66,1,0.66,1,0,0,0.66,1,0,0,0,0,0,0,0.6,1,1.2,2,0,0,177661,180977,,,,,,,,,0,0,6,4,90,9,1066,85
398,1.5,424,1.5,415,1.4,397,1.4,384,1.3,349,34,144,33,135,29,117,27,104,21,72,2484,2517,2305,2165,1687,9,8,8,7,8,16,21,20,23,23,24,1.08,3,1.08,3,3.58,10,5.38,15,7.53,21,5.73,16,2.51,7,0.72,2,0.36,1,1.43,4,0.72,2,0,0,0.36,1,1.08,3,0.5,2,0,0,0.5,2,2,7,231628,195685,,,,,,,,,0,0,84,19,90,2,991,253
399,1.7,1080,1.6,1057,1.6,1036,1.6,1030,1.6,1030,46,500,45,476,44,455,44,449,44,449,2270,2150,2090,2069,2068,16,16,15,14,12,17,82,18,84,17,75,0.31,2,1.68,11,4.15,27,2.15,14,2.3,15,0,0,0,0,0.77,5,1.38,9,1.54,10,1.69,11,0.92,6,1.23,8,0.92,6,0.4,2,0.9,4,0.2,1,0.4,2,292203,278130,,,,,,,,,0,0,42,8,88,1,987,220
400,1.3,883,1.3,881,1.3,881,1.3,881,1.3,879,100,883,100,881,100,881,100,881,100,879,2834,2833,2831,2824,2823,27,26,25,23,21,6,49,4,39,4,36,0,0,0.3,2,0.6,4,0,0,0,0,0.15,1,0.3,2,3.92,26,3.32,22,3.62,24,3.32,22,3.17,21,2.41,16,4.22,28,0,0,0.1,1,0,0,0.2,2,316408,316829,,,,,,,,,0,0,99,2,97,4,,
401,0.9,823,0.9,824,0.9,823,0.9,820,0.9,821,88,723,88,723,88,723,88,720,88,721,1964,1964,1962,1950,1951,32,31,30,28,26,11,80,10,72,9,64,0.11,1,0.11,1,0,0,0,0,0.11,1,0,0,0,0,1.22,11,0.55,5,1.44,13,1.22,11,1.55,14,1.33,12,2.22,20,0.4,3,0.6,4,1,7,0.8,6,177603,168851,,,,,,,,,0,0,83,6,100,0,869,129
402,0.6,572,0.6,571,0.6,572,0.6,576,0.6,577,100,572,100,571,100,572,100,576,100,577,2103,2102,2087,2077,2075,32,31,30,28,26,9,51,10,59,10,60,0.71,7,0.1,1,0.1,1,0.1,1,0,0,0,0,0,0,0.81,8,1.53,15,1.22,12,1.02,10,0.92,9,0.41,4,0.81,8,0.4,2,0.7,4,0.9,5,1,6,183417,175188,,,,,,,,,0,0,99,7,100,0,,
403,0.4,703,0.4,689,0.4,676,0.4,650,0.3,606,100,702,100,689,100,676,100,650,100,606,2960,2910,2856,2803,2728,26,25,25,24,24,10,67,10,67,11,72,1.01,18,1.51,27,1.06,19,1.12,20,2.52,45,1.34,24,0.22,4,1.62,29,1.12,20,1.17,21,1.06,19,0.73,13,0.5,9,0.56,10,0,0,0.4,3,0.5,3,1.3,8,390562,259652,,,,,,,,,0,0,93,2,91,3,,
404,2.1,852,2.1,853,2.1,849,2.1,850,2.1,849,65,555,64,549,65,552,65,553,65,556,1443,1445,1438,1431,1428,48,47,46,45,43,48,266,47,261,50,275,0,0,0.24,1,0,0,0.98,4,0,0,0,0,0,0,0.98,4,1.47,6,1.71,7,0.98,4,1.71,7,2.2,9,1.22,5,0,0,0.4,3,0.7,5,0.9,7,118962,124657,,,,,,,,,4,30,52,14,90,7,850,363
405,2.4,1379,2.4,1379,2.4,1380,2.4,1377,2.4,1370,75,1037,75,1036,75,1038,75,1035,75,1028,2002,2002,2000,1985,1982,15,14,13,11,9,23,234,21,223,19,200,0.17,1,0.17,1,3.14,18,3.49,20,0.17,1,0.7,4,0.7,4,1.4,8,2.44,14,1.74,10,1.74,10,0.7,4,1.74,10,1.74,10,0.1,1,1.2,17,1.2,16,1.5,21,176891,163218,,,,,,,,,0,0,75,11,96,2,1320,425
406,0.7,921,0.6,864,0.6,849,0.6,818,0.6,784,98,906,98,847,98,834,98,803,98,772,2664,2643,2520,2480,2468,30,30,31,30,29,13,109,13,107,13,105,0.22,3,1.81,25,4.71,65,1.67,23,1.89,26,2.18,30,0.22,3,1.45,20,2.32,32,1.67,23,0.94,13,1.23,17,0.44,6,1.67,23,0.2,2,1.1,9,0.5,4,1,8,290458,264486,,,,,,,,,0,0,79,8,96,2,1305,567
407,0.5,726,0.5,716,0.5,709,0.5,701,0.5,700,100,726,99,711,100,709,100,701,100,700,2150,2136,2113,2101,2093,35,34,34,32,30,22,154,21,152,21,147,0.2,3,0.47,7,1.07,16,0.54,8,0.54,8,0.07,1,0.27,4,0.67,10,0.8,12,0.6,9,0.47,7,0.8,12,0.27,4,0.74,11,0,0,0.4,3,1,7,0.4,3,203860,202458,,,,,,,,,0,0,73,9,94,5,1115,57
408,1,1076,1,1070,1,1071,1,1064,0.9,1027,86,930,86,924,86,925,86,918,89,916,2483,2485,2474,2467,2465,29,28,28,26,24,9,86,9,86,10,89,2.07,23,0.54,6,3.15,35,0.27,3,0.45,5,1.89,21,1.53,17,2.88,32,1.8,20,1.35,15,1.35,15,5.4,60,1.44,16,3.06,34,0.2,2,0.3,3,0.6,6,0.5,5,231111,183067,,,,,,,,,0,0,92,6,100,0,837,432
409,1.2,1053,1.1,1045,1.1,1043,1,1033,1,1013,92,965,91,953,92,955,91,945,91,925,4032,4001,3934,3936,3923,21,20,19,18,16,14,136,15,144,14,136,1.63,15,0.98,9,1.11,11,1.81,18,0.91,9,1.21,12,0.4,4,5.55,51,4.89,45,4.83,48,6.04,60,4.13,41,2.31,23,3.62,36,0.1,1,0.4,4,0.4,4,0.7,7,851211,738922,,,,,,,,,0,0,86,6,95,3,1586,548
410,4.1,999,3.8,1001,3.8,999,3.8,1000,3.8,991,12,120,12,120,12,120,12,121,12,121,2785,2776,2727,2728,2730,26,26,25,24,22,24,29,22,26,26,32,0.41,1,0.81,2,0,0,0.38,1,0,0,0,0,0,0,3.66,9,3.66,9,1.52,4,3.42,9,1.52,4,1.9,5,0.38,1,0.1,1,0,0,0.7,7,0.6,6,325339,246211,,,,,,,,,0,0,65,12,77,8,1012,137
411,1.2,620,1.2,621,1.2,622,1.2,622,1.2,604,66,412,67,413,67,414,67,414,66,396,1854,1852,1851,1846,1862,14,13,12,11,9,19,80,20,84,20,82,0.77,4,0.77,4,0.38,2,0,0,0.57,3,1.15,6,2.11,11,0.57,3,0.57,3,1.15,6,0.19,1,0.96,5,0.38,2,0.77,4,0.6,4,0.5,3,1.1,7,1.2,7,173508,175634,,,,,,,,,0,0,64,13,100,0,1521,318
412,0.1,252,0.1,252,0.1,249,0.1,248,0.1,237,100,251,99,249,100,249,100,248,100,237,2462,2297,2279,2270,2143,31,31,30,28,27,18,46,18,44,20,49,0.3,6,0.25,5,0.1,2,0.05,1,0.05,1,0.15,3,0.25,5,0.35,7,0.05,1,0.2,4,0.25,5,0.3,6,0.05,1,0.1,2,0,0,0,0,0.4,1,0,0,357679,330781,,,,,,,,,0,0,94,7,100,0,,
413,1,1215,1,1214,1,1214,1,1212,1,1195,100,1215,99,1207,100,1214,100,1212,100,1195,2794,2796,2781,2784,2801,19,18,17,15,14,11,133,12,141,10,124,0,0,0.08,1,0.17,2,0,0,0.42,5,0.42,5,0.59,7,1.78,21,1.27,15,2.71,32,2.37,28,2.2,26,1.44,17,2.2,26,0.2,3,0.3,4,0.6,7,0.6,7,311941,296311,,,,,,,,,0,0,92,6,93,6,,
416,4.2,893,4.2,893,4.2,893,4.2,893,4.2,893,7,65,7,64,7,65,7,65,7,65,1901,1906,1901,1901,1901,19,18,17,15,13,20,13,18,12,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,1,0.47,1,0.47,1,0,0,0,0,0,0,0,0,0,0,1.6,3,2.1,4,0.5,1,165881,145765,,,,,,,,,0,0,18,9,89,13,1015,101
417,1.2,792,1.1,719,1,651,1,652,1,651,72,568,79,570,87,568,87,569,87,569,2404,2399,2401,2390,2387,19,18,17,15,13,16,91,15,88,13,73,6.72,46,1.61,11,0,0,0.15,1,0,0,0.15,1,0,0,1.17,8,1.17,8,1.61,11,1.61,11,1.17,8,0.44,3,0.58,4,0.3,2,0.8,5,0.9,6,1.7,11,215746,198592,,,,,,,,,0,0,85,4,100,0,1169,71
418,1.4,1171,1.4,1171,1.4,1171,1.4,1171,1.4,1171,73,859,73,859,73,859,73,859,73,859,3203,3200,3197,3195,3198,15,14,13,11,9,8,70,7,60,6,51,0,0,0.12,1,0,0,0,0,0,0,0,0,0,0,1.41,12,2.36,20,3.55,30,3.07,26,1.66,14,3.43,29,2.13,18,0.1,1,0.1,1,0.4,3,0.5,4,371767,339390,,,,,,,,,0,0,72,7,97,3,1058,94
419,1.7,953,1.7,952,1.7,953,1.7,952,1.7,952,100,953,100,952,100,953,100,952,100,952,2811,2814,2811,2815,2816,22,21,20,18,16,6,54,5,51,4,42,3.2,18,1.07,6,0.18,1,0,0,0,0,0,0,0,0,3.2,18,3.2,18,1.77,10,3.71,21,2.47,14,3.18,18,3.53,20,0,0,0.2,2,0.4,4,0.5,5,311462,281122,,,,,,,,,0,0,100,0,100,0,,
420,0.9,1116,0.9,1114,0.9,1106,0.8,1085,0.8,1066,79,884,79,874,79,874,79,853,78,834,2339,2341,2337,2346,2349,20,19,19,17,15,14,125,14,126,13,107,0.23,3,0.15,2,0.23,3,0.92,12,1,13,0.62,8,1.62,21,1.39,18,1.62,21,0.85,11,1.23,16,1.39,18,0.85,11,1,13,0,0,0.2,2,0.5,4,1,8,279266,265963,,,,,,,,,0,0,69,7,97,4,1290,115
421,0.9,652,0.9,616,0.8,576,0.7,525,0.7,474,83,538,81,499,80,462,78,411,76,360,3034,3068,2966,2933,2899,11,11,11,10,9,10,52,11,51,10,43,5.39,39,4.28,31,5.52,40,7.04,51,6.77,49,3.04,22,2.9,21,1.93,14,0.97,7,1.11,8,0.83,6,0.97,7,1.11,8,0.83,6,0.5,3,0.9,5,0.4,2,1.3,6,275461,279250,,,,,,,,,0,0,85,8,98,5,,
422,0.3,882,0.3,814,0.3,814,0.2,581,0.2,580,57,504,46,373,62,502,85,495,85,494,1774,1909,1776,1788,1778,25,22,23,21,19,29,109,27,137,28,140,3.9,123,0.19,6,9.61,303,0.06,2,7.2,227,0.03,1,0,0,0.25,8,0.22,7,0.16,5,0.22,7,0.1,3,0.16,5,0.06,2,1,6,1.7,10,0.5,3,1,6,166961,156122,,,,,,,,,1,8,66,14,92,6,708,417
423,0.3,830,0.3,766,0.3,737,0.3,725,0.2,703,98,810,97,744,97,717,97,705,100,703,2772,2622,2453,2447,2433,27,28,29,27,26,15,108,15,110,16,115,2.47,72,2.1,61,2.23,65,1.58,46,0.17,5,0.1,3,0.03,1,0.55,16,0.41,12,0.89,26,0.21,6,0.27,8,0.24,7,0.34,10,0.4,3,0.6,4,0.4,3,0.4,3,257406,244814,,,,,,,,,0,0,86,5,96,4,,
424,0.7,779,0.7,777,0.7,775,0.7,773,0.7,775,73,567,73,564,73,563,73,561,73,563,2978,2964,2930,2919,2898,29,28,28,26,24,20,112,21,117,19,106,0.37,4,0.28,3,0.63,7,0.54,6,0.09,1,0.09,1,0.18,2,2.4,26,7.94,86,5.66,63,2.06,23,1.35,15,1.71,19,2.87,32,0.1,1,0.3,2,0.5,4,0.4,3,538863,518167,,,,,,,,,0,0,76,9,94,4,2111,760
425,0.3,445,0.3,431,0.3,424,0.3,424,0.3,419,100,445,99,428,100,424,100,424,100,419,2780,2731,2700,2686,2673,24,23,23,21,19,9,40,10,44,9,38,0.25,4,0.25,4,0.69,11,0.63,10,0.06,1,0.25,4,0,0,0.44,7,0.57,9,0.25,4,0.31,5,0.13,2,0.63,10,0.63,10,0.2,1,0.7,3,0.2,1,0.7,3,301580,273886,,,,,,,,,0,0,86,8,95,1,1542,1251
426,1.6,808,1.6,809,1.6,809,1.6,809,1.6,810,68,552,68,553,68,553,68,553,68,554,2247,2244,2243,2247,2244,26,25,24,22,21,8,43,8,45,9,50,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.8,9,2.2,11,2.6,13,0.6,3,1,5,0.6,3,1.8,9,0.2,1,0.5,3,1.5,8,1.1,6,203222,180724,,,,,,,,,0,0,73,5,98,4,837,76
428,0.4,561,0.4,542,0.4,528,0.4,511,0.4,502,100,561,99,539,100,528,100,511,100,502,2280,2284,2215,2194,2179,31,31,31,31,29,23,122,23,119,23,120,1.36,19,0.72,10,1.36,19,1.5,21,1.72,24,0.21,3,0.29,4,0.64,9,0.79,11,0.36,5,0.64,9,0.21,3,0.14,2,0.72,10,0.4,2,0.8,4,0.6,3,0.8,4,224977,216011,,,,,,,,,0,0,75,3,100,0,741,44
430,2.6,1647,2.5,1605,2.4,1551,2.4,1524,2,1294,20,325,19,311,18,282,17,255,13,170,2605,2474,2470,2426,2206,7,7,6,5,5,9,29,11,30,13,33,8.2,53,11.61,75,5.42,35,11.76,76,8.36,54,6.81,44,3.1,20,1.08,7,4.33,28,2.79,18,6.97,45,0.77,5,0.93,6,0.31,2,0.8,5,0.2,1,0.6,3,0.9,4,198794,202037,,,,,,,,,20,298,31,9,88,5,959,81
431,1,701,1,693,1,688,0.9,681,0.9,680,100,701,100,692,100,688,100,681,100,680,1873,1842,1780,1759,1757,32,31,31,29,27,23,158,22,148,19,130,0.14,1,1.66,12,1.25,9,0.69,5,0.83,6,0,0,0.28,2,1.39,10,1.25,9,1.39,10,0.83,6,0.83,6,0.97,7,0.83,6,1,7,1.6,11,0.9,6,1.2,8,192952,205521,,,,,,,,,0,0,86,13,100,0,1144,135
432,0.7,923,0.7,917,0.7,902,0.7,888,0.7,883,100,923,96,880,100,902,100,888,100,883,2273,2314,2262,2261,2250,26,25,25,23,22,10,85,11,103,10,92,0,0,0.15,2,0.45,6,1.06,14,0.76,10,0.15,2,0.23,3,1.06,14,0.83,11,1.44,19,1.13,15,0.91,12,1.13,15,0.53,7,0.1,1,0.8,7,0.1,1,0.5,4,237873,229339,,,,,,,,,0,0,96,2,95,4,784,312
433,1.4,325,1.4,324,1.4,323,1.4,323,1.4,323,100,325,100,324,100,323,100,323,100,323,2666,2668,2669,2672,2665,23,22,21,19,17,6,19,5,17,5,16,0,0,0,0,0.42,1,0.42,1,0,0,0,0,0,0,3.35,8,2.94,7,2.94,7,4.19,10,2.52,6,2.1,5,5.03,12,0,0,0,0,0,0,0.6,2,277231,258946,,,,,,,,,0,0,98,5,100,0,,
434,0.3,1159,0.3,1116,0.3,1078,0.3,1021,0.2,918,85,984,83,930,84,903,83,846,81,743,3491,3491,3394,3402,3376,14,14,14,13,12,6,58,7,66,8,69,1.92,72,0.85,32,1.12,42,1.63,61,1.65,62,2.05,77,0.83,31,0.83,31,0.83,31,0.83,31,0.75,28,0.8,30,0.64,24,0.59,22,0.1,1,0.5,5,0.8,8,0.8,7,347126,337603,,,,,,,,,0,0,91,6,100,0,1794,1341
435,0.5,246,0.5,244,0.5,236,0.5,229,0.5,221,100,246,100,244,100,236,100,229,100,221,2639,2633,2628,2611,2578,39,38,38,38,38,10,25,12,28,10,22,0,0,0.42,2,0.63,3,1.67,8,2.3,11,0.63,3,0.21,1,0.83,4,0.83,4,0.63,3,1.04,5,0.21,1,1.04,5,1.25,6,0.8,2,0.4,1,0.9,2,0.9,2,195841,216263,,,,,,,,,0,0,93,14,100,0,,
436,1.5,605,1.5,604,1.5,603,1.5,603,1.5,604,100,605,100,604,100,603,100,603,100,604,2136,2140,2134,2128,2127,27,26,25,23,21,16,95,15,90,14,82,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,1.25,5,0.75,3,1,4,2,8,0.75,3,1,4,1.5,6,1,6,1.3,8,1.5,9,1.8,11,160952,149575,,,,,,,,,0,0,74,8,100,0,1254,241
437,0.4,1413,0.4,1347,0.4,1261,0.3,1143,0.3,997,84,1186,81,1097,84,1063,83,952,82,819,2357,2269,2132,2006,1832,24,24,25,26,28,25,276,26,277,30,283,4.54,160,5.67,200,2.53,89,3.3,116,3.22,113,2.45,86,1.08,38,1.33,47,0.96,34,0.8,28,0.8,28,0.4,14,0.51,18,0.31,11,0.2,3,0.7,8,0.3,3,0.5,5,283536,247759,,,,,,,,,3,40,80,9,85,3,1092,254
438,0.5,1106,0.4,919,0.4,806,0.3,675,0.2,410,63,692,67,616,67,537,63,424,76,312,2518,2554,2460,3010,3195,15,16,18,22,28,20,122,20,109,28,118,15.93,344,5.51,119,5.6,121,11.16,241,6.11,132,8.94,193,3.38,73,0.97,21,1.02,22,1.3,28,1.48,32,1.71,37,1.57,34,1.85,40,0.1,1,0.1,1,0.4,2,0.7,3,316766,276252,,,,,,,,,14,94,66,7,98,7,718,160
442,1.6,751,1.6,732,1.6,726,1.6,718,1.6,716,97,728,97,708,97,703,97,695,97,693,1593,1535,1527,1506,1500,30,30,29,27,25,22,155,22,155,22,153,0,0,5.41,25,1.73,8,1.73,8,1.08,5,1.3,6,0.22,1,1.3,6,0.86,4,1.51,7,0.43,2,0.65,3,0.65,3,0.65,3,0.8,6,2.1,15,1.5,11,2.1,15,143690,128891,,,,,,,,,0,0,77,6,94,5,1059,223
443,2,556,2,558,2,558,2,558,2,558,100,556,100,558,100,558,100,558,100,558,2566,2566,2567,2564,2564,20,19,18,16,14,11,63,11,59,9,50,0,0,0.72,2,0,0,0,0,0,0,0,0,0,0,3.26,9,2.9,8,2.17,6,2.17,6,2.54,7,3.99,11,1.45,4,0.2,1,0.2,1,0.7,4,1.3,7,236330,237337,,,,,,,,,0,0,86,8,92,6,1390,60
444,2.2,820,2.1,808,2.1,808,2.1,806,2.1,806,100,820,95,767,100,808,100,806,100,806,1716,1733,1716,1704,1705,26,25,24,22,20,17,129,16,128,14,111,0.26,1,1.06,4,0.79,3,0,0,0,0,0,0,0,0,1.85,7,2.65,10,0.26,1,1.06,4,1.06,4,4.23,16,2.65,10,0.6,5,0.9,7,0.7,6,1.4,11,176281,165970,,,,,,,,,0,0,72,12,100,0,1041,399
445,1.5,1020,1.5,1020,1.5,1019,1.5,1020,1.5,1020,100,1020,100,1020,100,1019,100,1020,100,1020,2214,2214,2215,2211,2208,25,24,23,21,19,11,114,11,107,9,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,18,2.08,14,2.23,15,2.23,15,1.49,10,1.79,12,1.94,13,0.2,2,0.6,6,0.8,8,0.4,4,207378,198006,,,,,,,,,0,0,94,3,99,2,988,714
