NPA,Long_Commute_2014,Long_Commute_moe_2014,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2013,Sidewalk_Miles_2013,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
14,68,13,1.3,1.3,1.4,1.4,1.09,1.08,1.1,1.1,1.1,49.3,5.92,74,1198,74,1198,74,1198,74,1199,132,528,147,586,142,568
15,60,5,1.6,1.5,1.6,1.6,1.18,1.18,1.17,1.18,1.19,26.3,3.43,0,0,0,0,0,0,0,0,,,,,,
16,50,11,1.5,1.5,1.4,1.4,1.19,1.2,1.2,1.2,1.2,39.8,7.17,98,2062,98,2062,98,2080,98,2087,33,462,36,543,38,600
17,70,10,1.4,1.4,1.4,1.4,1.18,1.18,1.18,1.19,1.18,43.4,5.53,100,1253,100,1256,100,1256,100,1256,62,1426,64,1473,66,1511
18,37,5,1.6,1.6,1.5,1.5,1.16,1.16,1.17,1.17,1.17,48.8,7.57,100,1693,100,1695,100,1691,100,1596,87,958,105,1155,112,1227
19,50,3,1.7,1.6,1.6,1.6,1.15,1.15,1.15,1.15,1.15,33.7,6.58,98,1718,98,1718,98,1718,98,1715,7,104,7,109,6,93
20,62,12,1.5,1.5,1.5,1.4,1.08,1.08,1.08,1.08,1.08,54.8,6.32,42,606,42,606,41,590,29,420,,,,,,
21,70,12,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.18,1.18,52.6,7.39,100,1224,100,1220,100,1216,100,1168,195,6035,183,6054,191,5930
22,31,14,1.4,1.4,1.5,1.4,1.22,1.22,1.23,1.27,1.26,69,5.64,100,508,100,499,100,364,100,467,64,964,75,1119,81,1217
23,45,19,1.7,1.7,1.7,1.7,1,1,1,1,1,50.6,1.9,84,460,84,460,83,456,83,453,,,,,,
24,59,16,1.8,1.7,1.7,1.7,1.25,1.25,1.25,1.25,1.25,51.7,3.19,100,446,100,448,100,473,100,474,50,250,67,333,62,312
25,76,11,1.6,1.5,1.5,1.5,1.08,1.08,1.08,1.08,1.08,22.5,3.05,37,418,38,417,37,409,37,408,0,0,1,1,1,1
26,77,9,1.3,1.4,1.5,1.1,1.03,1.03,1.03,1.06,1.05,35.7,6.43,13,134,13,134,12,133,0,0,,,,,,
27,75,7,1.4,1.4,1.4,1.3,1.08,1.08,1.08,1.09,1.09,62.8,4.87,90,885,90,887,89,882,75,740,47,95,88,176,75,151
28,46,20,1.9,1.9,1.8,1.8,1.3,1.31,1.31,1.31,1.3,44.7,2.39,100,550,100,550,100,548,100,545,10,79,13,106,11,100
29,78,16,1.6,1.6,1.5,1.5,1.02,1.02,1.02,1.02,1.02,37.2,2.26,26,148,8,45,18,102,18,101,,,,,0,0
30,47,20,1.7,1.7,1.8,1.8,1.23,1.25,1.28,1.3,1.28,61.6,6.63,100,987,100,854,100,504,100,503,66,1654,73,1814,78,1957
