Parcel,2017Address,CITY,STATE,ZIP,2017TotalSubUnits,2017Source,2017PropertyName,NPA,HousingUnits,LAT,LONG,,,,,,
8002201,426 N. TRYON STREET,CHARLOTTE,NC,28202,,CHA-HDP,HALL HOUSE,341,1897,35.22989628,-80.83865983,,,,,,
8005601,321 N. DAVIDSON STREET,Charlotte,NC,28202,68,CHA-HDP,AUTUMN PLACE,341,1897,35.22545281,-80.83538458,,,,,,
8006501,550 E. 8TH STREET,Charlotte,NC,28202,68,LIHTC,FIRST WARD PLACE II,341,1897,35.22627109,-80.83434135,,,,,,
8103401,940 BREVARD STREET,Charlotte,NC,28206,100,LIHTC,940 BREVARD,341,1897,35.2314269,-80.82978515,,,,,,
12301101,1001 MOREHEAD SQUARE DRIVE,Charlotte,NC,,120,HTF,Steele Creek Seniors,342,426,35.21994254,-80.85055137,,,,,,
3515612,8223 LARKHAVEN ROAD,CHARLOTTE,NC,28216,6,HUD,RSS LARKHAVEN ROAD GROUP HOME,345,379,35.30020115,-80.92652394,,,,,,
7107122,315 KATONAH AVENUE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,347,348,35.24047589,-80.86313728,,,,,,
7107129,330 S. BRUNS AVENUE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,347,348,35.24009304,-80.86372812,,,,,,
7107131,322 S. BRUNS AVENUE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,347,348,35.24017538,-80.86337828,,,,,,
7107137,1707 SUMTER AVENUE,Charlotte,NC,28208,47,LIHTC,SEVERSVILLE APARTMENTS,347,348,35.24060679,-80.86213201,,,,,,
21129131,7108 SWANS RUN ROAD,CHARLOTTE,NC,28226,25,HUD,RSS SCATTERED HOMES,351,447,35.10950312,-80.79158351,,,,,,
21129131,7108 SWANS RUN ROAD,CHARLOTTE,NC,28226,18,HUD,RSS SCATTERED HOMES,351,447,35.10950312,-80.79158351,,,,,,
